AF3_Mean,AF3_Std,F7_Mean,F7_Std,F3_Mean,F3_Std,FC5_Mean,FC5_Std,T7_Mean,T7_Std,P7_Mean,P7_Std,O1_Mean,O1_Std,O2_Mean,O2_Std,FC6_Mean,FC6_Std,F4_Mean,F4_Std,F8_Mean,F8_Std,AF4_Mean,AF4_Std,class
4145.37130135,17.1412196244,4129.3048553,4.37515639458,4123.93933725,33.9479083035,4129.10574831,29.6092416125,4613.07055666,481.776529365,4124.24379391,34.8064520016,4109.36736772,38.5889079065,4116.45772077,26.3397236666,4169.03744876,40.315848051,4116.44961512,18.3108756198,4224.79249616,44.4446324401,4125.89338375,28.1745268281,0.0
4125.4122516,40.5140500172,4130.11413204,9.70738583785,4129.02349042,35.4285638697,4129.59619122,43.9732755259,4036.22345,190.729206456,4133.4402982,23.9541825987,4134.52837984,23.7636017743,4129.36485938,15.3782124977,4113.44183553,78.6363195636,4124.86309401,27.8425321584,4119.67091507,78.0425231066,4123.78934561,48.3777675116,1.0
4122.26352189,19.0577932619,4107.9545507,4.93859343081,4131.32316533,20.2882120873,4113.4461208,120.390269125,4133.08220108,39.147537096,4127.02058375,7.84743146507,4127.71341939,8.26561401852,4125.19432037,5.85128400202,4130.8253481,36.6281957388,4130.17473608,21.4717745991,4101.34177887,189.61484622,4100.89840769,117.194645659,1.0
4127.77264039,13.9806731528,4123.12946798,6.32389418318,4118.33876335,16.030150332,4130.72123251,11.6049461174,4126.11948847,9.22326456138,4128.8462799,7.34634535607,4129.05544808,6.87471771331,4128.46936847,6.76628291536,4134.88189951,15.4774141354,4136.20209764,16.4761122682,4139.09309094,150.673833929,4119.52557823,62.3919073709,1.0
4124.81501192,25.788315774,4125.49996296,8.28398377301,4132.50935859,27.0078622509,4125.1200571,57.5781896421,4127.32615124,7.94188102161,4127.17133823,7.50574361456,4128.75206822,8.82675562064,4129.28169444,6.3965611019,4129.84187537,8.89767776948,4136.09553575,12.4565642896,4135.77317865,22.7245544984,4128.22855422,23.2599979493,0.0
4131.1440432,17.69647427,4123.03923744,5.89568184007,4133.95106008,19.7929733653,4130.64904628,20.7977246007,4126.10393774,7.17942251945,4129.75173744,7.79152935723,4129.06984449,8.99242955887,4127.87054628,6.10177447481,4128.50915561,7.91703813325,4138.34186375,11.3950513706,4133.8008291,20.7382974626,4125.60028332,14.6125064823,0.0
4127.39008953,13.2112298622,4125.02711335,4.51340520133,4120.73605934,11.4872875975,4114.36950267,25.7857845546,4125.88953573,6.29764277849,4120.21586797,5.99591303926,4129.49718398,7.72770019489,4130.82188193,6.85122233848,4124.77017659,9.41240105949,4135.89427803,14.6119355697,4092.35297064,88.2985617041,4108.32201294,39.2832223006,1.0
4127.14658697,27.4697355793,4127.66619582,7.80949647689,4118.99681446,24.678477656,4125.83163513,29.8146311927,4125.09582862,6.00334995129,4126.85832047,7.4613949821,4129.22241456,8.92754141731,4128.90072373,6.26801018811,4131.17081823,11.7105480246,4136.70531242,10.7298670013,4125.40445947,41.5396420518,4129.88980998,14.2940193695,0.0
4130.14772034,64.0920778097,4129.88073371,15.4039080945,4119.1625633,33.3228737147,4213.07728762,242.158602673,4132.00568862,36.3561795982,4129.75818009,31.3219469218,4129.90480541,33.58845027,4130.686799,21.660879875,4128.15406558,29.4989710523,4135.63263642,27.9897521761,4122.66914523,33.6128165023,4124.64966686,30.9680616613,0.0
4119.70986207,24.7443446104,4131.42613806,43.39123484,4117.59373857,21.5454839638,4068.10819527,203.790702501,4115.93083819,20.1016839123,4127.683794,9.79580603594,4130.2668894,13.8769601301,4132.14919515,15.3796964137,4130.17192158,39.192918275,4142.26741188,57.7132230014,3982.70556986,159.987070492,4107.71850485,30.3980378929,1.0
4126.0330935,34.394885571,4122.44587724,8.88470348796,4123.78426177,27.8658505008,4116.95692916,48.3756699369,4127.93886532,15.1854180003,4128.18795034,13.5663594618,4125.52936778,14.7881594473,4126.1700132,10.7207161046,4133.48541064,17.0555057006,4131.53063133,32.9170849241,4168.6502468,38.9897458499,4130.56460591,20.8264090034,0.0
4147.2747739,26.6710390922,4162.59514885,154.823900829,4137.00872401,25.4270691743,4136.29998539,20.1175021274,4132.67597954,10.3571675571,4124.4066142,9.1157857737,4125.69562693,10.1153418842,4128.82822067,11.2938417233,4128.00599353,25.8934959868,4138.85873111,21.6867101484,4129.8281666,48.7394852677,4138.95615783,20.1287355464,0.0
4126.37398942,51.6423064756,4127.948464,43.733448246,4129.05323492,33.7079209712,4129.25156627,36.7633779301,4129.6710544,9.22624285394,4128.03114293,9.38853621763,4128.72504946,9.15626915025,4129.77351652,9.73486370914,4133.81064787,27.6046565391,4138.57972601,23.1098720661,4107.78310504,139.96101016,4129.26678309,46.0551039125,1.0
4133.54160224,29.5985613414,4122.33071898,6.74078073357,4129.13029837,16.3636052445,4125.72370612,11.1609077486,4138.7577202,10.9168233252,4127.69126082,7.01114472173,4128.1444249,6.63847609181,4124.59863959,7.11903598303,4119.9037149,17.0533148406,4130.75457837,25.1682798825,4219.79696429,125.448137804,4133.86289816,34.1741830606,1.0
4037.58878003,115.025066748,4122.61902069,9.68071450623,4127.0459,39.6611811959,4100.00519493,35.3725974333,4095.32524313,28.0499155302,4126.90786179,12.4487899443,4125.60169363,11.5498391297,4133.29622533,20.8233245454,4102.73628046,81.1310551951,4134.18679884,46.4404302048,4084.19087844,248.532305072,4119.62966889,42.8885045021,1.0
4138.00677547,15.2881945687,4132.81083899,8.01308821593,4106.92146415,16.6416401564,4141.29334025,18.0752871476,4129.12110818,15.0717392843,4127.94387987,9.77703628853,4128.7921327,8.90200023194,4135.1782,11.2067588891,4131.68520881,11.54225746,4146.31511321,11.0553428861,4027.88905031,125.995470586,4131.37880818,11.8363995736,1.0
4134.00172799,56.8155259456,4127.69073739,41.285305599,4117.33898887,58.3481979784,4118.79468825,60.8675155288,4127.23344014,30.9477469675,4129.67758805,9.38365177515,4129.17838744,9.95629319983,4130.043738,9.58581017606,4138.51130184,16.2331640469,4136.28139632,14.0136299375,4137.65904351,18.1365778524,4127.21772605,19.8399059086,0.0
4118.42341246,49.5993685534,4127.12793518,10.4002038884,4153.67592942,40.1122651405,4137.69418838,32.4289343052,4130.54530942,17.3090631731,4127.48127361,8.58509663818,4127.44905382,8.9125226786,4126.82454157,8.51973668427,4122.27681382,17.8987718639,4135.45281131,12.8248002009,4129.76829058,25.6848906988,4127.94845099,17.5551177867,0.0
4129.00670172,24.3889045017,4127.69851534,4.90594336778,4144.7701106,33.9559336678,4130.26417215,15.3573267857,4129.67838668,11.2491697714,4128.83489859,8.42836550264,4128.37279082,7.78467575629,4128.40642735,10.1179885831,4137.3494781,27.6516126213,4136.33263532,17.5552644807,4111.6753335,141.282903514,4130.47168083,29.0507065895,1.0
4133.24126255,22.9899939945,4137.39332664,14.8855701203,4118.8407083,40.9666918397,4134.61340444,19.0513631129,4125.78061351,13.9554047469,4126.06375637,8.81555931871,4125.97465502,10.6427536513,4127.53192683,9.40175776194,4122.22849035,24.8604610164,4138.63775753,12.4186248914,4154.74309382,14.9187861303,4125.66973301,15.0231316505,0.0
4122.78388571,19.2131484414,4114.21245714,5.72178781522,4132.52747143,7.19964683652,4104.76191429,9.3669650411,4117.80218571,25.0716519904,4129.01095714,10.3760659835,4126.66668571,7.36547524632,4127.39927143,6.23786993033,4101.31868571,7.56106187637,4129.96335714,9.03685811407,4122.63735714,13.7287821853,4118.24175714,9.63251741103,1.0
4087.92728142,41.328881466,4120.72081115,6.23336466447,4134.85750495,18.0332914067,4141.34793932,21.6130574003,4136.86115944,20.8243036097,4132.10764334,12.2164237936,4132.07589474,12.1172197543,4128.22576563,9.05509492986,4122.37516811,16.8706049416,4138.63935604,21.3943916514,4155.35762539,104.589473127,4145.94585697,80.1117220674,0.0
4062.1123071,103.938040229,4132.30983507,8.62955539408,4119.54927161,55.3465402177,4140.82008601,25.5545370181,4126.69878392,17.9623433279,4121.12627495,9.57226681909,4119.55569916,9.84578837469,4122.39173236,7.80531534913,4122.11337641,15.5485266337,4133.89005052,11.0534848065,4120.83185846,12.8507032397,4128.43851858,16.7267595629,0.0
4127.09782077,108.764432122,4131.61885915,9.62906817609,4133.91361761,32.7238899027,4132.30160554,20.4079971969,4131.90849337,17.3606221105,4128.80975955,8.90963277185,4128.27563581,10.0416273623,4127.89114392,7.76197584174,4131.94298684,13.686835755,4137.03061137,12.5147593227,4129.92264599,17.0150125576,4130.8696633,17.6459828465,0.0
